"Intersection","Gene","Gene_Function"
"Wounded_4h vs Wounded_0h","pdam_00006671","SIFaR: Neuropeptide SIFamide receptor (Drosophila melanogaster)"
"Wounded_4h vs Wounded_0h","pdam_00006636","ASCL4: Achaete-scute homolog 4 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00015282","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00013412","RGSL1: Regulator of G-protein signaling protein-like (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00013433","ZDHHC3: Palmitoyltransferase ZDHHC3 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00013416","Slc7a9: b(0%2C+)-type amino acid transporter 1 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00013420","SLC7A9: b(0%2C+)-type amino acid transporter 1 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00022283","F5: Coagulation factor V (Bos taurus)"
"Wounded_4h vs Wounded_0h","pdam_00018645","Tollip: Toll-interacting protein (Rattus norvegicus)"
"Wounded_4h vs Wounded_0h","pdam_00011613","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00011616","WAC: WW domain-containing adapter protein with coiled-coil (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00011627","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00015114","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00013185","ADAM8: Disintegrin and metalloproteinase domain-containing protein 8 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00024230","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00021160","edem3: ER degradation-enhancing alpha-mannosidase-like protein 3 (Xenopus laevis)"
"Wounded_4h vs Wounded_0h","pdam_00018807","CYC1: Cytochrome c1%2C heme protein%2C mitochondrial (Bos taurus)"
"Wounded_4h vs Wounded_0h","pdam_00004784","Slc35c2: Solute carrier family 35 member C2 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00004806","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00004810","RASD2: GTP-binding protein Rhes (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00015960","PLEKHB2: Pleckstrin homology domain-containing family B member 2 (Pongo abelii)"
"Wounded_4h vs Wounded_0h","pdam_00015967","Equistatin (Actinia equina)"
"Wounded_4h vs Wounded_0h","pdam_00021836","CUX1: Protein CASP (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00023189","MKRN2OS: MKRN2 opposite strand protein (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00015730","Ccnb1ip1: E3 ubiquitin-protein ligase CCNB1IP1 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00025944","Nlrc5: Protein NLRC5 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00019501","Athl1: Acid trehalase-like protein 1 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00020944","C5orf51: UPF0600 protein C5orf51 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00020941","Mmp9: Matrix metalloproteinase-9 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00003703","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00003681","Cyp3a41a: Cytochrome P450 3A41 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00003759","MNAT1: CDK-activating kinase assembly factor MAT1 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00024454","Kin: DNA/RNA-binding protein KIN17 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00017265","mshA: D-inositol 3-phosphate glycosyltransferase (Segniliparus rotundus (strain ATCC BAA-972 / CDC 1076 / CIP 108378 / DSM 44985 / JCM 13578))"
"Wounded_4h vs Wounded_0h","pdam_00017269","Galr2: Galanin receptor type 2 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00017275","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00009010","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00008996","Adpgk: ADP-dependent glucokinase (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00009002","GNPTG: N-acetylglucosamine-1-phosphotransferase subunit gamma (Bos taurus)"
"Wounded_4h vs Wounded_0h","pdam_00021753","MDP1: Magnesium-dependent phosphatase 1 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00022256","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00021481","RTCA: RNA 3'-terminal phosphate cyclase (Macaca fascicularis)"
"Wounded_4h vs Wounded_0h","pdam_00024503","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00015403","Plcg1: 1-phosphatidylinositol 4%2C5-bisphosphate phosphodiesterase gamma-1 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00015149","WBC30: Putative white-brown complex homolog protein 30 (Arabidopsis thaliana)"
"Wounded_4h vs Wounded_0h","pdam_00015146","ABCG24: ABC transporter G family member 24 (Arabidopsis thaliana)"
"Wounded_4h vs Wounded_0h","pdam_00015556","Pm20d2: Peptidase M20 domain-containing protein 2 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00015543","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00019299","MCC: Colorectal mutant cancer protein (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00024388","ADGRD1: Adhesion G-protein coupled receptor D1 (Bos taurus)"
"Wounded_4h vs Wounded_0h","pdam_00017201","gtpA: GTP-binding protein A (Dictyostelium discoideum)"
"Wounded_4h vs Wounded_0h","pdam_00017209","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00022271","KATNBL1: KATNB1-like protein 1 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00007704","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00022349","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00004605","ctu1: Cytoplasmic tRNA 2-thiolation protein 1 (Danio rerio)"
"Wounded_4h vs Wounded_0h","pdam_00004615","Dpy19l3: Probable C-mannosyltransferase DPY19L3 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00007755","HMCN1: Hemicentin-1 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00007784","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00007763","Zdhhc22: Palmitoyltransferase ZDHHC22 (Rattus norvegicus)"
"Wounded_4h vs Wounded_0h","pdam_00000330","DNAH10: Dynein heavy chain 10%2C axonemal (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00000335","Rgs22: Regulator of G-protein signaling 22 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00000352","ldlrap1-b: Low density lipoprotein receptor adapter protein 1-B (Xenopus laevis)"
"Wounded_4h vs Wounded_0h","pdam_00000384","EFCAB5: EF-hand calcium-binding domain-containing protein 5 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00000431","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00000413","PIPOX: Peroxisomal sarcosine oxidase (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00008067","CNB1: Calcineurin subunit B (Naegleria gruberi)"
"Wounded_4h vs Wounded_0h","pdam_00008046","PAAF1: Proteasomal ATPase-associated factor 1 (Gallus gallus)"
"Wounded_4h vs Wounded_0h","pdam_00008063","lrk-1: Leucine-rich repeat serine/threonine-protein kinase 1 (Caenorhabditis elegans)"
"Wounded_4h vs Wounded_0h","pdam_00022448","CRCP: DNA-directed RNA polymerase III subunit RPC9 (Bos taurus)"
"Wounded_4h vs Wounded_0h","pdam_00017811","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00011402","mtpn: Myotrophin (Danio rerio)"
"Wounded_4h vs Wounded_0h","pdam_00025503","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00008442","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00008443","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00008448","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00017484","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00017888","Wnk1: Serine/threonine-protein kinase WNK1 (Rattus norvegicus)"
"Wounded_4h vs Wounded_0h","pdam_00017893","KAT7: Histone acetyltransferase KAT7 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00012091","EIF4ENIF1: Eukaryotic translation initiation factor 4E transporter (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00005775","CYP20A1: Cytochrome P450 20A1 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00010763","COL12A1: Collagen alpha-1(XII) chain (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00021239","Pcsk5: Proprotein convertase subtilisin/kexin type 5 (Rattus norvegicus)"
"Wounded_4h vs Wounded_0h","pdam_00018669","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00003407","MORN1: MORN repeat-containing protein 1 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00014171","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00018536","TESK2: Dual specificity testis-specific protein kinase 2 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00012022","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00012014","FANCL: E3 ubiquitin-protein ligase FANCL (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00017349","CUEDC1: CUE domain-containing protein 1 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00024621","ASB9: Ankyrin repeat and SOCS box protein 9 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00019130","MAPK8IP1: C-Jun-amino-terminal kinase-interacting protein 1 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00022773","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00010024","RAD51B: DNA repair protein RAD51 homolog 2 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00010012","Tll1: Tolloid-like protein 1 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00013882","Rpp38: Ribonuclease P protein subunit p38 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00008393","MIB1: E3 ubiquitin-protein ligase MIB1 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00008373","Nf1: Neurofibromin (Rattus norvegicus)"
"Wounded_4h vs Wounded_0h","pdam_00001557","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00021437","POLD3: DNA polymerase delta subunit 3 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00023141","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00024667","DENND6A: Protein DENND6A (Gallus gallus)"
"Wounded_4h vs Wounded_0h","pdam_00016414","RAB5B: Ras-related protein Rab-5B (Gallus gallus)"
"Wounded_4h vs Wounded_0h","pdam_00022122","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00025998","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00003446","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00007493","Asb13: Ankyrin repeat and SOCS box protein 13 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00007524","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00007526","TAAR6: Trace amine-associated receptor 6 (Pan troglodytes)"
"Wounded_4h vs Wounded_0h","pdam_00010693","PITPNA: Phosphatidylinositol transfer protein alpha isoform (Oryctolagus cuniculus)"
"Wounded_4h vs Wounded_0h","pdam_00010655","C9orf78: Uncharacterized protein C9orf78 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00022873","SEC24C: Protein transport protein Sec24C (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00016288","mrps7: 28S ribosomal protein S7%2C mitochondrial (Danio rerio)"
"Wounded_4h vs Wounded_0h","pdam_00017587","FGFR: Fibroblast growth factor receptor (Halocynthia roretzi)"
"Wounded_4h vs Wounded_0h","pdam_00000736","Eps8: Epidermal growth factor receptor kinase substrate 8 (Rattus norvegicus)"
"Wounded_4h vs Wounded_0h","pdam_00000735","b4gat1: Beta-1%2C4-glucuronyltransferase 1 (Danio rerio)"
"Wounded_4h vs Wounded_0h","pdam_00000796","Tubgcp4: Gamma-tubulin complex component 4 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00000791","FXN: Frataxin%2C mitochondrial (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00000860","LINS1: Protein Lines homolog 1 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00000889","Htatip2: Oxidoreductase HTATIP2 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00000758","PDIA4: Protein disulfide-isomerase A4 (Bos taurus)"
"Wounded_4h vs Wounded_0h","pdam_00008004","ADAMTSL1: ADAMTS-like protein 1 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00007980","CASQ1: Calsequestrin-1 (Oryctolagus cuniculus)"
"Wounded_4h vs Wounded_0h","pdam_00007999","Acsl4: Long-chain-fatty-acid--CoA ligase 4 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00008001","ADAMTS6: A disintegrin and metalloproteinase with thrombospondin motifs 6 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00015303","Spag6: Sperm-associated antigen 6 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00014504","PRUNE: Protein prune homolog (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00014490","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00020449","Banf1: Barrier-to-autointegration factor (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00003159","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00003203","RAPGEF6: Rap guanine nucleotide exchange factor 6 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00003190","HMCN1: Hemicentin-1 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00004269","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00004325","Vegfd: Vascular endothelial growth factor D (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00004323","commd6: COMM domain-containing protein 6 (Xenopus tropicalis)"
"Wounded_4h vs Wounded_0h","pdam_00004335","Gabbr2: Gamma-aminobutyric acid type B receptor subunit 2 (Rattus norvegicus)"
"Wounded_4h vs Wounded_0h","pdam_00024330","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00006321","Gk: Glycerol kinase (Rattus norvegicus)"
"Wounded_4h vs Wounded_0h","pdam_00006324","LRCH1: Leucine-rich repeat and calponin homology domain-containing protein 1 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00003613","nas-13: Zinc metalloproteinase nas-13 (Caenorhabditis elegans)"
"Wounded_4h vs Wounded_0h","pdam_00003595","MTG2: Mitochondrial ribosome-associated GTPase 2 (Pongo abelii)"
"Wounded_4h vs Wounded_0h","pdam_00003652","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00003654","Pdcd5: Programmed cell death protein 5 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00003642","P4htm: Transmembrane prolyl 4-hydroxylase (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00023485","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00020181","Gpr50: Melatonin-related receptor (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00007869","rhbg: Ammonium transporter Rh type B (Danio rerio)"
"Wounded_4h vs Wounded_0h","pdam_00018174","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00021088","Kif13a: Kinesin-like protein KIF13A (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00025737","YDJC: Carbohydrate deacetylase (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00002106","cf60: Counting factor 60 (Dictyostelium discoideum)"
"Wounded_4h vs Wounded_0h","pdam_00002142","Txndc12: Thioredoxin domain-containing protein 12 (Epinephelus coioides)"
"Wounded_4h vs Wounded_0h","pdam_00002139","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00002213","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00002162","Tcerg1: Transcription elongation regulator 1 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00010137","Mgme1: Mitochondrial genome maintenance exonuclease 1 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00010139","rtn4ip1: Reticulon-4-interacting protein 1 homolog%2C mitochondrial (Danio rerio)"
"Wounded_4h vs Wounded_0h","pdam_00018614","NCS1: Neuronal calcium sensor 1 (Pongo abelii)"
"Wounded_4h vs Wounded_0h","pdam_00000510","Nog: Noggin (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00000513","Utp6: U3 small nucleolar RNA-associated protein 6 homolog (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00000700","FGF4: Fibroblast growth factor 4 (Gallus gallus)"
"Wounded_4h vs Wounded_0h","pdam_00000679","ENTPD5: Ectonucleoside triphosphate diphosphohydrolase 5 (Gallus gallus)"
"Wounded_4h vs Wounded_0h","pdam_00000564","SPAC637.09: Uncharacterized exonuclease C637.09 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))"
"Wounded_4h vs Wounded_0h","pdam_00000566","adrb1: Beta-1 adrenergic receptor (Xenopus laevis)"
"Wounded_4h vs Wounded_0h","pdam_00000555","rhot1a: Mitochondrial Rho GTPase 1-A (Danio rerio)"
"Wounded_4h vs Wounded_0h","pdam_00022972","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00014474","rost: Protein rolling stone (Drosophila melanogaster)"
"Wounded_4h vs Wounded_0h","pdam_00019388","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00019379","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00022141","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00016355","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00021336","Stra6l: Stimulated by retinoic acid gene 6 protein-like (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00018049","Catsper1: Cation channel sperm-associated protein 1 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00012932","MUC1: Mucin-1 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00005490","tmem53: Transmembrane protein 53 (Danio rerio)"
"Wounded_4h vs Wounded_0h","pdam_00005508","DNAH7: Dynein heavy chain 7%2C axonemal (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00000014","SNUPN: Snurportin-1 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00000045","BSG: Basigin (Oryctolagus cuniculus)"
"Wounded_4h vs Wounded_0h","pdam_00000104","DMBT1: Deleted in malignant brain tumors 1 protein (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00016662","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00018308","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00025125","PXDNL: Peroxidasin-like protein (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00020588","trim71: E3 ubiquitin-protein ligase TRIM71 (Xenopus tropicalis)"
"Wounded_4h vs Wounded_0h","pdam_00015032","CFAP43: Cilia- and flagella-associated protein 43 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00005321","RDH8: Retinol dehydrogenase 8 (Bos taurus)"
"Wounded_4h vs Wounded_0h","pdam_00005384","abhd11: Protein ABHD11 (Danio rerio)"
"Wounded_4h vs Wounded_0h","pdam_00005348","CWC27: Peptidyl-prolyl cis-trans isomerase CWC27 homolog (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00014063","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00014052","Gba2: Non-lysosomal glucosylceramidase (Rattus norvegicus)"
"Wounded_4h vs Wounded_0h","pdam_00014075","VPS33B: Vacuolar protein sorting-associated protein 33B (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00024729","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00010105","CEP350: Centrosome-associated protein 350 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00010103","TMEM237: Transmembrane protein 237 (Gallus gallus)"
"Wounded_4h vs Wounded_0h","pdam_00012869","Sdc: Syndecan (Drosophila melanogaster)"
"Wounded_4h vs Wounded_0h","pdam_00019648","G6PD: Glucose-6-phosphate 1-dehydrogenase (Macropus robustus)"
"Wounded_4h vs Wounded_0h","pdam_00019651","fbxl5: F-box/LRR-repeat protein 5 (Salmo salar)"
"Wounded_4h vs Wounded_0h","pdam_00004725","Tmprss9: Transmembrane protease serine 9 (Rattus norvegicus)"
"Wounded_4h vs Wounded_0h","pdam_00004756","Otp: Homeobox protein orthopedia (Lytechinus variegatus)"
"Wounded_4h vs Wounded_0h","pdam_00004743","TBCA: Tubulin-specific chaperone A (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00004764","ZNF670: Zinc finger protein 670 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00014658","FMN2: Formin-2 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00023438","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00024777","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00018676","TACR2: Substance-K receptor (Mesocricetus auratus)"
"Wounded_4h vs Wounded_0h","pdam_00010256","ATAD2B: ATPase family AAA domain-containing protein 2B (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00010252","Ube2l3: Ubiquitin-conjugating enzyme E2 L3 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00010216","NRXN2: Neurexin-2 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00015161","Xrcc4: DNA repair protein XRCC4 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00015170","ARHGAP39: Rho GTPase-activating protein 39 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00024803","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00020084","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00014626","PLD2: Phospholipase D2 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00009135","CSNK2A1: Casein kinase II subunit alpha (Gallus gallus)"
"Wounded_4h vs Wounded_0h","pdam_00009108","Mvd: Diphosphomevalonate decarboxylase (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00022018","F2: Prothrombin (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00014715","Meltf: Melanotransferrin (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00014734","TMEM65: Transmembrane protein 65 (Bos taurus)"
"Wounded_4h vs Wounded_0h","pdam_00015494","BCL3: B-cell lymphoma 3 protein (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00015495","MRPL17: 39S ribosomal protein L17%2C mitochondrial (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00015516","Uncharacterized skeletal organic matrix protein 5 (Acropora millepora)"
"Wounded_4h vs Wounded_0h","pdam_00013325","Map3k7: Mitogen-activated protein kinase kinase kinase 7 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00013310","CFAP47: Cilia- and flagella-associated protein 47 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00021625","PTX4: Pentraxin-4 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00023749","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00020215","PDHA1: Pyruvate dehydrogenase E1 component subunit alpha%2C somatic form%2C mitochondrial (Bos taurus)"
"Wounded_4h vs Wounded_0h","pdam_00022393","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00013711","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00020442","PARP1: Poly [ADP-ribose] polymerase 1 (Gallus gallus)"
"Wounded_4h vs Wounded_0h","pdam_00006589","UPF0160 protein MYG1%2C mitochondrial (Bos taurus)"
"Wounded_4h vs Wounded_0h","pdam_00006621","AACS: Acetoacetyl-CoA synthetase (Macaca fascicularis)"
"Wounded_4h vs Wounded_0h","pdam_00017581","NXF1: Nuclear RNA export factor 1 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00022123","NTF2: Nuclear transport factor 2 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))"
"Wounded_4h vs Wounded_0h","pdam_00019281","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00014018","SHH: Sonic hedgehog protein (Gallus gallus)"
"Wounded_4h vs Wounded_0h","pdam_00006807","HRH2: Histamine H2 receptor (Canis lupus familiaris)"
"Wounded_4h vs Wounded_0h","pdam_00005619","trim71: E3 ubiquitin-protein ligase TRIM71 (Danio rerio)"
"Wounded_4h vs Wounded_0h","pdam_00005660","Protein BUD31 homolog (Branchiostoma belcheri)"
"Wounded_4h vs Wounded_0h","pdam_00005664","RDH12: Retinol dehydrogenase 12 (Bos taurus)"
"Wounded_4h vs Wounded_0h","pdam_00011451","Sms: Spermine synthase (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00022365","PRPF39: Pre-mRNA-processing factor 39 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00017393","OPLAH: 5-oxoprolinase (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00008214","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00008237","ark-1: Ack-related non-receptor tyrosine kinase (Caenorhabditis elegans)"
"Wounded_4h vs Wounded_0h","pdam_00022321","Adrb2: Beta-2 adrenergic receptor (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00019723","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00023653","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00013943","WDR41: WD repeat-containing protein 41 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00025479","Mrc1: Macrophage mannose receptor 1 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00010192","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00010200","kiaa1324l: UPF0577 protein KIAA1324-like homolog (Xenopus laevis)"
"Wounded_4h vs Wounded_0h","pdam_00022505","COMMD10: COMM domain-containing protein 10 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00024862","GBP3: Guanylate-binding protein 3 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00024863","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00006372","SLC2A3: Solute carrier family 2%2C facilitated glucose transporter member 3 (Canis lupus familiaris)"
"Wounded_4h vs Wounded_0h","pdam_00006347","PLEKHM2: Pleckstrin homology domain-containing family M member 2 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00006397","Hmcn1: Hemicentin-1 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00006345","ATP13A2: Probable cation-transporting ATPase 13A2 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00013168","Mfge8: Lactadherin (Rattus norvegicus)"
"Wounded_4h vs Wounded_0h","pdam_00025274","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00024128","Aig1: Androgen-induced gene 1 protein (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00004025","GABBR2: Gamma-aminobutyric acid type B receptor subunit 2 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00003988","DNAH5: Dynein heavy chain 5%2C axonemal (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00004030","LDLRAP1: Low density lipoprotein receptor adapter protein 1 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00018019","GLUL: Glutamine synthetase (Acomys cahirinus)"
"Wounded_4h vs Wounded_0h","pdam_00022847","KLHDC3: Kelch domain-containing protein 3 (Bos taurus)"
"Wounded_4h vs Wounded_0h","pdam_00021997","ROBO1: Roundabout homolog 1 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00009557","unknown function"
